Date,value
2014-04-14,0.113
2014-04-14,0.691
2014-04-14,1.718
2014-04-14,2.923
2014-04-14,4.118
2014-04-14,5.079
2014-04-14,5.538
2014-04-14,5.178
2014-04-14,3.701
2014-04-14,2.052
2014-04-14,0.172
2014-04-14,0.013
2014-04-15,0.059
2014-04-15,0.519
2014-04-15,1.091
2014-04-15,2.199
2014-04-15,3.339
2014-04-15,3.419
2014-04-15,3.849
2014-04-15,3.37
2014-04-15,3.02
2014-04-15,0.869
2014-04-15,0.049
2014-04-15,0.031
2014-04-16,0.104
2014-04-16,0.768
2014-04-16,1.923
2014-04-16,3.203
2014-04-16,4.33
2014-04-16,4.864
2014-04-16,3.86
2014-04-16,3.758
2014-04-16,2.685
2014-04-16,1.101
2014-04-16,1.183
2014-04-16,1.01
2014-04-16,0.223
2014-04-17,0.111
2014-04-17,0.822
2014-04-17,1.996
2014-04-17,3.355
2014-04-17,4.475
2014-04-17,5.123
2014-04-17,5.394
2014-04-17,2.792
2014-04-17,1.612
2014-04-17,3.329
2014-04-17,2.387
2014-04-17,1.258
2014-04-17,0.276
2014-04-18,0.108
2014-04-18,0.765
2014-04-18,1.869
2014-04-18,3.046
2014-04-18,4.324
2014-04-18,5.142
2014-04-18,5.634
2014-04-18,5.348
2014-04-18,4.184
2014-04-18,1.403
